,vertices,delta,runtime,deltafactor,seed
200,10000,3145,2,95,40
201,10000,3145,2,98,40
202,10000,3145,2,97,40
203,10000,3145,2,96,40
204,10000,3145,2,99,40
205,10000,851,2,95,41
206,10000,851,3,98,41
207,10000,851,2,96,41
208,10000,851,3,97,41
209,10000,1091,2,95,42
210,10000,851,2,99,41
211,10000,1091,2,98,42
212,10000,1091,2,96,42
213,10000,1091,2,97,42
214,10000,4179,2,95,43
215,10000,1091,2,99,42
216,10000,4179,2,98,43
217,10000,4179,2,96,43
218,10000,4179,2,97,43
219,10000,1101,2,95,44
220,10000,4179,2,99,43
221,10000,1101,2,96,44
222,10000,1101,2,97,44
223,10000,1101,3,98,44
224,10000,2911,2,95,45
225,10000,1101,2,99,44
226,10000,2911,2,96,45
227,10000,2911,2,97,45
228,10000,2911,2,98,45
229,10000,2969,2,95,46
230,10000,2911,2,99,45
231,10000,2969,2,96,46
232,10000,2969,2,97,46
233,10000,2969,2,98,46
234,10000,1597,2,95,47
235,10000,2969,2,99,46
236,10000,1597,2,96,47
237,10000,1597,2,97,47
238,10000,1597,2,98,47
239,10000,843,2,95,48
240,10000,1597,2,99,47
241,10000,843,2,96,48
242,10000,843,3,97,48
243,10000,843,3,98,48
244,10000,1154,2,95,49
245,10000,843,2,99,48
246,10000,1154,2,96,49
247,10000,1154,2,98,49
248,10000,728,2,95,50
249,10000,1154,2,99,49
250,10000,1154,3,97,49
251,10000,728,3,96,50
252,10000,2765,2,95,51
253,10000,728,2,99,50
254,10000,728,3,98,50
255,10000,728,3,97,50
256,10000,2765,2,96,51
257,10000,2765,2,99,51
258,10000,1704,2,95,52
259,10000,2765,2,98,51
260,10000,2765,2,97,51
261,10000,1704,2,96,52
262,10000,1704,2,99,52
263,10000,1704,2,98,52
264,10000,798,3,95,53
265,10000,1704,2,97,52
266,10000,798,2,96,53
267,10000,798,2,98,53
268,10000,798,3,99,53
269,10000,798,2,97,53
270,10000,458,3,95,54
271,10000,458,2,96,54
272,10000,458,2,99,54
273,10000,458,3,98,54
274,10000,785,2,95,55
275,10000,458,3,97,54
276,10000,785,3,96,55
277,10000,785,2,98,55
278,10000,2269,2,95,56
279,10000,785,3,99,55
280,10000,785,2,97,55
281,10000,2269,2,96,56
282,10000,2222,2,95,57
283,10000,2269,2,98,56
284,10000,2269,2,99,56
285,10000,2269,2,97,56
286,10000,2222,2,96,57
287,10000,1303,2,95,58
288,10000,2222,2,98,57
289,10000,2222,2,99,57
290,10000,2222,2,97,57
291,10000,1303,2,96,58
292,10000,1303,2,98,58
293,10000,1303,2,99,58
294,10000,1303,2,97,58
295,10000,1162,3,95,59
296,10000,1162,2,96,59
297,10000,1162,2,98,59
298,10000,1162,2,99,59
299,10000,1162,2,97,59
300,10000,3817,2,95,60
301,10000,3817,2,96,60
302,10000,3817,2,98,60
303,10000,3817,2,99,60
304,10000,3817,2,97,60
305,10000,1265,2,96,61
306,10000,1265,2,95,61
307,10000,1265,2,98,61
308,10000,1265,2,99,61
309,10000,883,2,96,62
310,10000,1265,3,97,61
311,10000,883,3,95,62
312,10000,883,2,98,62
313,10000,883,2,99,62
314,10000,1071,2,96,63
315,10000,883,2,97,62
316,10000,1071,2,95,63
317,10000,1071,2,98,63
318,10000,1223,2,96,64
319,10000,1071,3,99,63
320,10000,1071,2,97,63
321,10000,1223,2,95,64
322,10000,1223,2,98,64
323,10000,1223,2,99,64
324,10000,3350,2,96,65
325,10000,1223,2,97,64
326,10000,3350,2,95,65
327,10000,3350,2,98,65
328,10000,2189,2,96,66
329,10000,3350,2,99,65
330,10000,3350,2,97,65
331,10000,2189,2,95,66
332,10000,2189,2,98,66
333,10000,4298,2,96,67
334,10000,2189,2,99,66
335,10000,2189,2,97,66
336,10000,4298,2,95,67
337,10000,4298,2,98,67
338,10000,972,2,96,68
339,10000,4298,2,99,67
340,10000,4298,2,97,67
341,10000,972,2,95,68
342,10000,972,2,98,68
343,10000,3074,2,96,69
344,10000,972,2,99,68
345,10000,972,2,97,68
346,10000,3074,2,95,69
347,10000,3074,2,98,69
348,10000,1808,2,96,70
349,10000,3074,2,99,69
350,10000,3074,2,97,69
351,10000,1808,2,95,70
352,10000,1808,2,98,70
353,10000,2017,2,96,71
354,10000,1808,2,99,70
355,10000,1808,2,97,70
356,10000,2017,2,95,71
357,10000,2017,2,98,71
358,10000,3355,2,96,72
359,10000,2017,2,97,71
360,10000,3355,2,95,72
361,10000,2017,3,99,71
362,10000,3355,2,98,72
363,10000,1123,2,96,73
364,10000,3355,2,97,72
365,10000,3355,2,99,72
366,10000,1123,2,98,73
367,10000,1123,3,95,73
368,10000,1266,2,96,74
369,10000,1123,2,99,73
370,10000,1266,2,95,74
371,10000,1123,3,97,73
372,10000,1266,2,98,74
373,10000,1594,2,96,75
374,10000,1266,2,99,74
375,10000,1594,2,95,75
376,10000,1594,2,98,75
377,10000,1266,2,97,74
378,10000,679,2,96,76
379,10000,1594,2,99,75
380,10000,679,2,95,76
381,10000,679,3,98,76
382,10000,1594,3,97,75
383,10000,1133,2,96,77
384,10000,679,2,99,76
385,10000,1133,2,95,77
386,10000,1133,2,98,77
387,10000,679,2,97,76
388,10000,1159,2,96,78
389,10000,1159,2,98,78
390,10000,1133,3,99,77
391,10000,1159,3,95,78
392,10000,1133,2,97,77
393,10000,868,2,96,79
394,10000,868,2,98,79
395,10000,1159,2,99,78
396,10000,1159,2,97,78
397,10000,868,2,95,79
398,10000,2984,2,96,80
399,10000,2984,2,98,80
400,10000,868,2,97,79
401,10000,2984,2,95,80
402,10000,1190,2,96,81
403,10000,868,3,99,79
404,10000,1190,2,98,81
405,10000,1190,2,95,81
406,10000,2984,2,97,80
407,10000,1886,2,96,82
408,10000,2984,2,99,80
409,10000,1886,2,98,82
410,10000,1886,2,95,82
411,10000,1190,2,97,81
412,10000,1509,2,96,83
413,10000,1190,2,99,81
414,10000,1509,2,98,83
415,10000,1509,2,95,83
416,10000,1886,2,97,82
417,10000,1296,2,96,84
418,10000,1886,2,99,82
419,10000,1296,2,98,84
420,10000,1296,2,95,84
421,10000,1509,2,97,83
422,10000,2591,2,96,85
423,10000,1509,2,99,83
424,10000,2591,2,98,85
425,10000,2591,2,95,85
426,10000,1296,2,97,84
427,10000,1595,2,96,86
428,10000,1296,2,99,84
429,10000,1595,2,98,86
430,10000,1595,2,95,86
431,10000,3880,2,96,87
432,10000,2591,2,97,85
433,10000,2591,2,99,85
434,10000,3880,2,98,87
435,10000,3880,2,95,87
436,10000,766,2,96,88
437,10000,1595,2,97,86
438,10000,1595,2,99,86
439,10000,766,2,98,88
440,10000,766,2,95,88
441,10000,2279,2,96,89
442,10000,3880,2,97,87
443,10000,3880,2,99,87
444,10000,2279,2,98,89
445,10000,2279,2,95,89
446,10000,1175,2,96,90
447,10000,766,2,97,88
448,10000,766,2,99,88
449,10000,1175,2,98,90
450,10000,1346,2,96,91
451,10000,1175,3,95,90
452,10000,2279,2,97,89
453,10000,2279,2,99,89
454,10000,1346,2,98,91
455,10000,1346,2,95,91
456,10000,1175,2,97,90
457,10000,1181,3,96,92
458,10000,1175,2,99,90
459,10000,1181,2,98,92
460,10000,1346,2,97,91
461,10000,1181,3,95,92
462,10000,902,2,96,93
463,10000,1346,2,99,91
464,10000,902,2,98,93
465,10000,1181,2,97,92
466,10000,902,2,95,93
467,10000,1181,2,99,92
468,10000,4312,2,96,94
469,10000,4312,2,98,94
470,10000,4312,2,95,94
471,10000,902,2,99,93
472,10000,645,2,96,95
473,10000,902,3,97,93
474,10000,645,2,98,95
475,10000,645,2,95,95
476,10000,1682,2,96,96
477,10000,4312,2,99,94
478,10000,4312,2,97,94
479,10000,1682,2,98,96
480,10000,1682,2,95,96
481,10000,1282,2,96,97
482,10000,645,2,99,95
483,10000,645,2,97,95
484,10000,1282,2,98,97
485,10000,1282,2,95,97
486,10000,895,2,96,98
487,10000,1682,2,99,96
488,10000,895,2,98,98
489,10000,1682,2,97,96
490,10000,1703,2,96,99
491,10000,1282,2,99,97
492,10000,895,3,95,98
493,10000,1703,2,98,99
494,10000,1282,2,97,97
495,10000,1306,2,96,100
496,10000,895,2,99,98
497,10000,1703,2,95,99
498,10000,895,2,97,98
499,10000,1306,2,98,100
500,10000,2061,2,96,101
501,10000,1306,2,95,100
502,10000,1703,2,99,99
503,10000,1703,2,97,99
504,10000,2061,2,98,101
505,10000,3313,2,96,102
506,10000,1306,2,99,100
507,10000,1306,2,97,100
508,10000,3313,2,98,102
509,10000,2061,3,95,101
510,10000,2424,2,96,103
511,10000,2061,2,99,101
512,10000,2061,2,97,101
513,10000,2424,2,98,103
514,10000,3313,2,95,102
515,10000,1594,2,96,104
516,10000,3313,2,99,102
517,10000,3313,2,97,102
518,10000,2424,2,95,103
519,10000,1594,2,98,104
520,10000,2294,2,96,105
521,10000,2424,2,99,103
522,10000,2424,2,97,103
523,10000,1594,2,95,104
524,10000,2294,2,98,105
525,10000,3480,2,96,106
526,10000,1594,2,97,104
527,10000,2294,2,95,105
528,10000,1594,3,99,104
529,10000,3480,2,98,106
530,10000,1899,2,96,107
531,10000,2294,2,97,105
532,10000,3480,2,95,106
533,10000,2294,2,99,105
534,10000,1899,2,98,107
535,10000,835,2,96,108
536,10000,3480,2,97,106
537,10000,1899,2,95,107
538,10000,3480,2,99,106
539,10000,835,2,98,108
540,10000,2807,2,96,109
541,10000,1899,2,97,107
542,10000,835,2,95,108
543,10000,1899,2,99,107
544,10000,2807,2,98,109
545,10000,675,2,96,110
546,10000,835,2,97,108
547,10000,2807,2,95,109
548,10000,835,2,99,108
549,10000,675,2,98,110
550,10000,7044,2,96,111
551,10000,2807,2,97,109
552,10000,675,2,95,110
553,10000,7044,2,98,111
554,10000,2807,2,99,109
555,10000,1932,2,96,112
556,10000,675,2,97,110
557,10000,7044,2,95,111
558,10000,1932,2,98,112
559,10000,6488,2,96,113
560,10000,675,3,99,110
561,10000,7044,2,97,111
562,10000,1932,2,95,112
563,10000,6488,2,98,113
564,10000,983,2,96,114
565,10000,7044,2,99,111
566,10000,1932,2,97,112
567,10000,6488,2,95,113
568,10000,983,3,98,114
569,10000,1932,2,99,112
570,10000,2679,2,96,115
571,10000,983,2,95,114
572,10000,6488,2,97,113
573,10000,2679,2,98,115
574,10000,6488,2,99,113
575,10000,1413,2,96,116
576,10000,983,2,97,114
577,10000,2679,2,95,115
578,10000,1413,2,98,116
579,10000,983,2,99,114
580,10000,1384,2,96,117
581,10000,2679,2,97,115
582,10000,1413,3,95,116
583,10000,1384,2,98,117
584,10000,2679,2,99,115
585,10000,4909,2,96,118
586,10000,1413,2,97,116
587,10000,1384,2,95,117
588,10000,4909,2,98,118
589,10000,1413,2,99,116
590,10000,4087,2,96,119
591,10000,1384,2,97,117
592,10000,4909,2,95,118
593,10000,1384,2,99,117
594,10000,4087,2,98,119
595,10000,1288,2,96,120
596,10000,4909,2,97,118
597,10000,4087,2,95,119
598,10000,4909,2,99,118
599,10000,1288,2,98,120
600,10000,1398,2,96,121
601,10000,4087,2,97,119
602,10000,4087,2,99,119
603,10000,1398,2,98,121
604,10000,1288,3,95,120
605,10000,1288,2,97,120
606,10000,1597,3,96,122
607,10000,1288,2,99,120
608,10000,1597,2,98,122
609,10000,1398,3,95,121
610,10000,1398,2,97,121
611,10000,923,3,96,123
612,10000,923,2,98,123
613,10000,1398,2,99,121
614,10000,1597,2,97,122
615,10000,1597,2,95,122
616,10000,2030,2,96,124
617,10000,2030,2,98,124
