,vertices,delta,runtime,deltafactor,seed
0,10000,1416,2,93,0
1,10000,1416,2,92,0
2,10000,1416,2,91,0
3,10000,1416,2,90,0
4,10000,1416,2,94,0
5,10000,1118,2,92,1
6,10000,1118,2,93,1
7,10000,1118,2,91,1
8,10000,1118,2,90,1
9,10000,1118,2,94,1
10,10000,5547,2,92,2
11,10000,5547,2,93,2
12,10000,5547,2,91,2
13,10000,5547,2,90,2
14,10000,5547,2,94,2
15,10000,4861,2,92,3
16,10000,4861,2,93,3
17,10000,4861,2,91,3
18,10000,4861,2,90,3
19,10000,4861,2,94,3
20,10000,2368,2,92,4
21,10000,2368,2,93,4
22,10000,2368,2,91,4
23,10000,2368,2,90,4
24,10000,2368,2,94,4
25,10000,2243,2,92,5
26,10000,2243,2,93,5
27,10000,2243,2,91,5
28,10000,2243,2,90,5
29,10000,2243,2,94,5
30,10000,2292,2,92,6
31,10000,2292,2,93,6
32,10000,2292,2,91,6
33,10000,2292,2,90,6
34,10000,2292,2,94,6
35,10000,2395,2,92,7
36,10000,2395,2,93,7
37,10000,2395,2,91,7
38,10000,2395,2,90,7
39,10000,2395,2,94,7
40,10000,4451,2,92,8
41,10000,4451,2,93,8
42,10000,4451,2,91,8
43,10000,4451,2,90,8
44,10000,4451,2,94,8
45,10000,734,2,92,9
46,10000,734,2,91,9
47,10000,734,2,90,9
48,10000,734,3,93,9
49,10000,734,3,94,9
50,10000,1431,2,92,10
51,10000,1431,2,90,10
52,10000,1431,2,93,10
53,10000,1431,3,91,10
54,10000,1431,2,94,10
55,10000,954,2,92,11
56,10000,954,2,90,11
57,10000,954,2,93,11
58,10000,954,2,91,11
59,10000,954,2,94,11
60,10000,748,2,92,12
61,10000,748,2,90,12
62,10000,748,2,91,12
63,10000,748,2,93,12
64,10000,748,2,94,12
65,10000,2786,2,92,13
66,10000,2786,2,90,13
67,10000,2786,2,91,13
68,10000,2786,2,93,13
69,10000,2786,2,94,13
70,10000,2957,2,92,14
71,10000,2957,2,90,14
72,10000,2957,2,91,14
73,10000,2957,2,93,14
74,10000,2957,2,94,14
75,10000,1778,2,92,15
76,10000,1778,2,91,15
77,10000,1778,2,90,15
78,10000,1778,2,93,15
79,10000,1778,2,94,15
80,10000,1881,2,92,16
81,10000,1881,2,91,16
82,10000,1881,2,90,16
83,10000,1881,2,93,16
84,10000,1881,3,94,16
85,10000,2371,2,92,17
86,10000,2371,2,91,17
87,10000,2371,2,90,17
88,10000,2371,2,93,17
89,10000,2371,2,94,17
90,10000,3397,2,92,18
91,10000,3397,2,91,18
92,10000,3397,2,90,18
93,10000,3397,2,93,18
94,10000,3397,2,94,18
95,10000,1187,2,92,19
96,10000,1187,2,91,19
97,10000,1187,2,93,19
98,10000,1187,3,90,19
99,10000,1187,2,94,19
100,10000,1774,2,92,20
101,10000,1774,2,91,20
102,10000,1774,2,93,20
103,10000,1774,2,90,20
104,10000,894,2,92,21
105,10000,1774,2,94,20
106,10000,894,2,91,21
107,10000,894,2,93,21
108,10000,894,2,90,21
109,10000,1706,2,92,22
110,10000,894,3,94,21
111,10000,1706,2,91,22
112,10000,1706,2,93,22
113,10000,1706,2,90,22
114,10000,1697,2,92,23
115,10000,1706,2,94,22
116,10000,1697,2,91,23
117,10000,1697,2,93,23
118,10000,1697,2,90,23
119,10000,2935,2,92,24
120,10000,2935,2,91,24
121,10000,1697,3,94,23
122,10000,2935,2,93,24
123,10000,2935,2,90,24
124,10000,2469,2,92,25
125,10000,2469,2,91,25
126,10000,2935,2,94,24
127,10000,2469,2,93,25
128,10000,2469,2,90,25
129,10000,1836,2,92,26
130,10000,1836,2,91,26
131,10000,2469,2,94,25
132,10000,1836,2,93,26
133,10000,1836,2,90,26
134,10000,2022,2,91,27
135,10000,2022,3,92,27
136,10000,1836,2,94,26
137,10000,2022,2,93,27
138,10000,2022,2,90,27
139,10000,648,2,92,28
140,10000,648,2,91,28
141,10000,648,2,93,28
142,10000,2022,2,94,27
143,10000,648,3,90,28
144,10000,1702,2,92,29
145,10000,1702,2,91,29
146,10000,1702,2,93,29
147,10000,648,3,94,28
148,10000,1702,2,90,29
149,10000,1138,2,91,30
150,10000,1138,3,92,30
151,10000,1138,2,93,30
152,10000,1702,2,94,29
153,10000,1338,2,91,31
154,10000,1138,2,90,30
155,10000,1338,2,92,31
156,10000,1338,2,93,31
157,10000,1138,2,94,30
158,10000,5388,2,91,32
159,10000,1338,2,90,31
160,10000,5388,2,92,32
161,10000,5388,2,93,32
162,10000,1338,2,94,31
163,10000,3239,2,91,33
164,10000,5388,2,90,32
165,10000,3239,2,93,33
166,10000,3239,2,92,33
167,10000,5388,2,94,32
168,10000,1545,2,91,34
169,10000,3239,2,90,33
170,10000,1545,2,93,34
171,10000,1545,2,92,34
172,10000,3239,2,94,33
173,10000,4297,2,91,35
174,10000,1545,2,90,34
175,10000,4297,2,92,35
176,10000,4297,2,93,35
177,10000,1545,2,94,34
178,10000,1241,2,91,36
179,10000,4297,2,90,35
180,10000,1241,2,92,36
181,10000,1241,2,93,36
182,10000,4297,2,94,35
183,10000,1241,2,90,36
184,10000,754,3,91,37
185,10000,754,3,92,37
186,10000,754,3,93,37
187,10000,1241,3,94,36
188,10000,1412,2,91,38
189,10000,754,3,90,37
190,10000,1412,2,92,38
191,10000,754,2,94,37
192,10000,1412,2,93,38
193,10000,1186,2,91,39
194,10000,1412,2,90,38
