,vertices,delta,runtime
0,11,7,3
1,11,7,3
2,11,9,3
3,11,7,3
4,11,7,2
5,11,9,2
6,11,7,6
7,11,8,2
8,11,9,2
9,11,10,3
10,10011,25,5
11,10011,25,4
12,10011,24,5
13,10011,23,5
14,10011,25,6
15,10011,24,5
16,10011,23,5
17,10011,21,5
18,10011,24,5
19,10011,23,5
20,20011,27,6
21,20011,27,5
22,20011,26,5
23,20011,26,5
24,20011,30,5
25,20011,26,6
26,20011,24,5
27,20011,25,6
28,20011,25,6
29,20011,23,6
30,30011,25,5
31,30011,25,5
32,30011,26,6
33,30011,24,5
34,30011,29,4
35,30011,25,6
36,30011,23,7
37,30011,25,6
38,30011,23,5
39,30011,24,6
40,40011,24,6
41,40011,24,5
42,40011,24,6
43,40011,26,5
44,40011,26,5
45,40011,25,5
46,40011,25,5
47,40011,24,5
48,40011,23,7
49,40011,25,5
50,50011,23,6
51,50011,23,5
52,50011,25,5
53,50011,24,5
54,50011,24,5
55,50011,26,5
56,50011,27,5
57,50011,24,5
58,50011,24,6
59,50011,26,5
60,60011,25,6
61,60011,25,6
62,60011,27,6
63,60011,25,6
64,60011,24,6
65,60011,25,5
66,60011,26,6
67,60011,24,5
68,60011,24,5
69,60011,28,6
70,70011,27,5
71,70011,27,6
72,70011,25,6
73,70011,23,6
74,70011,26,5
75,70011,25,7
76,70011,26,6
77,70011,23,6
78,70011,26,6
79,70011,26,6
80,80011,27,6
81,80011,27,5
82,80011,26,6
83,80011,24,6
84,80011,26,6
85,80011,25,6
86,80011,24,6
87,80011,25,5
88,80011,25,5
89,80011,25,6
