,vertices,delta,runtime,deltafactor
233,10000,4861,2,330
234,10000,2368,3,330
235,10000,2243,3,330
236,10000,2292,2,330
237,10000,2395,3,330
238,10000,4451,2,330
239,10000,734,4,330
240,10000,1416,3,340
241,10000,1118,3,340
242,10000,5547,3,340
243,10000,4861,2,340
244,10000,2368,2,340
245,10000,2243,2,340
246,10000,2292,3,340
247,10000,2395,3,340
248,10000,4451,2,340
249,10000,734,3,340
250,10000,1416,3,350
251,10000,1118,3,350
252,10000,5547,3,350
253,10000,4861,3,350
254,10000,2368,3,350
255,10000,2243,2,350
256,10000,2292,3,350
257,10000,2395,2,350
258,10000,4451,2,350
259,10000,734,3,350
260,10000,1416,3,360
261,10000,1118,3,360
262,10000,5547,2,360
263,10000,4861,2,360
264,10000,2368,2,360
265,10000,2243,2,360
266,10000,2292,3,360
267,10000,2395,2,360
268,10000,4451,2,360
269,10000,734,3,360
270,10000,1416,3,370
271,10000,1118,3,370
272,10000,5547,2,370
273,10000,4861,2,370
274,10000,2368,3,370
275,10000,2243,2,370
276,10000,2292,3,370
277,10000,2395,3,370
278,10000,4451,2,370
279,10000,734,3,370
280,10000,1416,2,380
281,10000,1118,3,380
282,10000,5547,2,380
283,10000,4861,2,380
284,10000,2368,3,380
285,10000,2243,2,380
286,10000,2292,3,380
287,10000,2395,3,380
288,10000,4451,2,380
289,10000,734,3,380
290,10000,1416,3,390
291,10000,1118,3,390
292,10000,5547,2,390
293,10000,4861,2,390
294,10000,2368,2,390
295,10000,2243,3,390
296,10000,2292,2,390
297,10000,2395,2,390
298,10000,4451,2,390
299,10000,734,3,390
300,10000,1416,3,400
301,10000,1118,3,400
302,10000,5547,2,400
303,10000,4861,2,400
304,10000,2368,3,400
305,10000,2243,3,400
306,10000,2292,3,400
307,10000,2395,2,400
308,10000,4451,2,400
309,10000,734,3,400
310,10000,1416,3,410
311,10000,1118,3,410
312,10000,5547,2,410
313,10000,4861,2,410
314,10000,2368,3,410
315,10000,2243,3,410
316,10000,2292,2,410
317,10000,2395,2,410
318,10000,4451,3,410
319,10000,734,3,410
320,10000,1416,3,420
321,10000,1118,3,420
322,10000,5547,2,420
323,10000,4861,2,420
324,10000,2368,3,420
325,10000,2243,3,420
326,10000,2292,3,420
327,10000,2395,3,420
328,10000,4451,2,420
329,10000,734,3,420
330,10000,1416,2,430
331,10000,1118,3,430
332,10000,5547,2,430
333,10000,4861,2,430
334,10000,2368,3,430
335,10000,2243,2,430
336,10000,2292,2,430
337,10000,2395,3,430
338,10000,4451,2,430
339,10000,734,3,430
340,10000,1416,3,440
341,10000,1118,3,440
342,10000,5547,2,440
343,10000,4861,2,440
344,10000,2368,2,440
345,10000,2243,3,440
346,10000,2292,3,440
347,10000,2395,3,440
348,10000,4451,2,440
349,10000,734,3,440
350,10000,1416,3,450
351,10000,1118,3,450
352,10000,5547,3,450
353,10000,4861,2,450
354,10000,2368,2,450
355,10000,2243,3,450
356,10000,2292,2,450
357,10000,2395,3,450
358,10000,4451,2,450
359,10000,734,3,450
360,10000,1416,3,460
361,10000,1118,3,460
362,10000,5547,2,460
363,10000,4861,2,460
364,10000,2368,3,460
365,10000,2243,3,460
366,10000,2292,3,460
367,10000,2395,2,460
