,vertices,delta,runtime,deltafactor,seed,attempt
166,10000,0,0,1600,12,9
167,100000,7300,3,1600,88,0
168,100000,7221,3,1600,89,0
169,1000000,13397,4,1600,7,0
170,100000,7220,3,1600,90,0
171,1000,0,0,1600,2,28
172,100000,7189,4,1600,91,0
173,10000,0,0,1600,12,10
174,100000,7089,4,1600,92,0
175,100000,6831,3,1600,93,0
176,100000,6843,3,1600,94,0
177,1000,0,0,1600,2,29
178,100000,5325,3,1600,95,0
179,10000,0,0,1600,12,11
180,100000,5211,3,1600,96,0
181,100000,5171,4,1600,97,0
182,100000,5250,3,1600,98,0
183,1000,0,0,1600,2,30
184,10000,0,0,1600,12,12
185,100000,5238,4,1600,99,0
186,100000,5212,3,1600,100,0
187,100000,5233,3,1600,101,0
188,100000,22312,3,1600,102,0
189,1000,0,0,1600,2,31
190,100000,22813,3,1600,103,0
191,10000,0,0,1600,12,13
192,100000,22071,2,1600,104,0
193,100000,22020,2,1600,105,0
194,100000,21601,3,1600,106,0
195,100000,21758,2,1600,107,0
196,1000,0,0,1600,2,32
197,100000,21797,3,1600,108,0
198,10000,0,0,1600,12,14
199,100000,21551,3,1600,109,0
200,1000000,13447,5,1600,8,0
201,100000,21549,3,1600,110,0
202,100000,21408,3,1600,111,0
203,1000,0,0,1600,2,33
204,100000,16738,3,1600,112,0
205,10000,0,0,1600,12,15
206,100000,16680,3,1600,113,0
207,100000,7828,3,1600,114,0
208,100000,7797,4,1600,115,0
209,1000,0,0,1600,2,34
210,10000,0,0,1600,12,16
211,100000,8020,3,1600,116,0
212,100000,7953,3,1600,117,0
213,1000,0,0,1600,2,35
214,10000,0,0,1600,12,17
215,1000000,13493,3,1600,9,0
216,1000,0,0,1600,2,36
217,10000,0,0,1600,12,18
218,10000,748,5,1600,12,19
219,10000,2786,3,1600,13,0
220,10000,2957,3,1600,14,0
221,10000,1778,4,1600,15,0
222,10000,1881,4,1600,16,0
223,10000,2371,3,1600,17,0
224,10000,3397,3,1600,18,0
225,100000,0,0,1600,118,0
226,1000,0,0,1600,2,37
227,100000,8012,3,1600,118,1
228,10000,0,0,1600,19,0
229,100000,6339,3,1600,119,0
230,100000,3462,4,1600,120,0
231,100000,4888,3,1600,121,0
232,1000,0,0,1600,2,38
233,100000,4851,3,1600,122,0
234,10000,0,0,1600,19,1
235,10000,1187,4,1600,19,2
236,10000,1774,4,1600,20,0
237,10000,894,5,1600,21,0
238,10000,1706,4,1600,22,0
239,10000,1697,3,1600,23,0
240,10000,2935,3,1600,24,0
241,10000,2469,3,1600,25,0
242,10000,1836,5,1600,26,0
243,10000,2022,4,1600,27,0
244,100000,4850,4,1600,123,0
245,100000,4792,4,1600,124,0
246,1000,0,0,1600,2,39
247,100000,4750,3,1600,125,0
248,100000,8183,3,1600,126,0
249,10000,0,0,1600,28,0
250,100000,8223,3,1600,127,0
251,1000000,13531,4,1600,10,0
252,100000,8253,3,1600,128,0
253,1000,0,0,1600,2,40
254,100000,8303,4,1600,129,0
255,10000,0,0,1600,28,1
256,100000,8224,3,1600,130,0
257,100000,8247,3,1600,131,0
258,100000,8274,4,1600,132,0
259,1000,0,0,1600,2,41
260,100000,12813,3,1600,133,0
261,10000,0,0,1600,28,2
262,100000,12596,3,1600,134,0
263,100000,12600,3,1600,135,0
264,100000,12806,3,1600,136,0
265,1000,0,0,1600,2,42
266,100000,12771,3,1600,137,0
267,10000,0,0,1600,28,3
268,100000,12864,3,1600,138,0
269,100000,12836,3,1600,139,0
270,100000,12865,3,1600,140,0
271,1000,0,0,1600,2,43
272,100000,12855,3,1600,141,0
273,10000,0,0,1600,28,4
274,100000,12976,3,1600,142,0
275,100000,9636,3,1600,143,0
276,1000000,13525,4,1600,11,0
277,100000,9678,3,1600,144,0
278,1000,0,0,1600,2,44
279,100000,9513,3,1600,145,0
280,10000,0,0,1600,28,5
281,100000,9492,4,1600,146,0
282,100000,9539,3,1600,147,0
283,100000,9606,3,1600,148,0
284,1000,0,0,1600,2,45
285,100000,9504,3,1600,149,0
286,10000,0,0,1600,28,6
287,100000,9622,3,1600,150,0
288,100000,9727,3,1600,151,0
289,100000,9518,3,1600,152,0
290,1000,0,0,1600,2,46
291,100000,3186,4,1600,153,0
292,10000,0,0,1600,28,7
293,100000,3193,4,1600,154,0
294,100000,8109,3,1600,155,0
295,1000,0,0,1600,2,47
296,100000,8087,3,1600,156,0
297,100000,7942,4,1600,157,0
298,10000,0,0,1600,28,8
299,100000,9290,3,1600,158,0
300,1000000,13519,4,1600,12,0
