,vertices,delta,runtime,deltafactor,seed,attempt
3889,100000,8253,3,1600,128,6
3890,100000,8303,3,1600,129,6
3891,100000,8224,3,1600,130,6
3892,100000,8247,3,1600,131,6
3893,10000,0,0,1600,74,8
3894,10000,1594,4,1600,75,8
3895,1000,0,0,1600,118,3
3896,100000,8274,3,1600,132,6
3897,100000,12813,3,1600,133,6
3898,100000,12596,3,1600,134,6
3899,10000,0,0,1600,76,8
3900,100000,12600,3,1600,135,6
3901,1000,0,0,1600,119,3
3902,100000,12806,3,1600,136,6
3903,100000,12771,3,1600,137,6
3904,100000,12864,3,1600,138,6
3905,10000,0,0,1600,77,8
3906,10000,1159,4,1600,78,8
3907,1000000,12920,4,1600,154,0
3908,100000,12836,3,1600,139,6
3909,1000,0,0,1600,120,3
3910,100000,12865,3,1600,140,6
3911,100000,12855,3,1600,141,6
3912,100000,12976,3,1600,142,6
3913,10000,0,0,1600,79,8
3914,10000,2984,3,1600,80,8
3915,10000,1190,4,1600,81,8
3916,10000,1886,3,1600,82,8
3917,10000,1509,4,1600,83,8
3918,10000,1296,5,1600,84,8
3919,10000,2591,3,1600,85,8
3920,10000,1595,4,1600,86,8
3921,10000,3880,3,1600,87,8
3922,1000,0,0,1600,121,3
3923,1000,525,4,1600,122,3
3924,1000,334,6,1600,123,3
3925,1000,496,4,1600,124,3
3926,100000,9636,3,1600,143,6
3927,100000,9678,3,1600,144,6
3928,100000,9513,3,1600,145,6
3929,100000,9492,3,1600,146,6
3930,10000,0,0,1600,88,8
3931,1000,0,0,1600,125,3
3932,10000,2279,4,1600,89,8
3933,1000,698,4,1600,126,3
3934,10000,1175,4,1600,90,8
3935,10000,1346,4,1600,91,8
3936,10000,1181,4,1600,92,8
3937,100000,9539,4,1600,147,6
3938,100000,9606,3,1600,148,6
3939,100000,9504,3,1600,149,6
3940,100000,9622,3,1600,150,6
3941,1000,0,0,1600,127,3
3942,1000,525,5,1600,128,3
3943,1000,733,4,1600,129,3
3944,1000,785,3,1600,130,3
3945,1000,592,4,1600,131,3
3946,10000,0,0,1600,93,8
3947,10000,4312,3,1600,94,8
3948,100000,9727,3,1600,151,6
3949,100000,9518,3,1600,152,6
3950,1000,0,0,1600,132,3
3951,10000,0,0,1600,95,8
3952,10000,1682,4,1600,96,8
3953,1000000,12954,4,1600,155,0
3954,10000,1282,4,1600,97,8
3955,1000,0,0,1600,133,3
3956,10000,0,0,1600,98,8
3957,10000,1703,4,1600,99,8
3958,10000,1306,4,1600,100,8
3959,10000,2061,3,1600,101,8
3960,10000,3313,4,1600,102,8
3961,10000,2424,4,1600,103,8
3962,10000,1594,5,1600,104,8
3963,10000,2294,3,1600,105,8
3964,10000,3480,3,1600,106,8
3965,10000,1899,4,1600,107,8
3966,100000,0,0,1600,153,6
3967,1000,0,0,1600,134,3
3968,10000,0,0,1600,108,8
3969,10000,2807,4,1600,109,8
3970,1000,0,0,1600,135,3
3971,1000,429,6,1600,136,3
3972,10000,0,0,1600,110,8
3973,10000,7044,2,1600,111,8
3974,10000,1932,3,1600,112,8
3975,1000000,12989,3,1600,156,0
3976,10000,6488,3,1600,113,8
3977,1000,0,0,1600,137,3
3978,1000,534,4,1600,138,3
3979,1000,724,4,1600,139,3
3980,10000,0,0,1600,114,8
3981,10000,2679,4,1600,115,8
3982,100000,0,0,1600,154,6
3983,100000,8109,4,1600,155,6
3984,1000,0,0,1600,140,3
3985,100000,8087,3,1600,156,6
3986,10000,0,0,1600,116,8
3987,10000,1384,4,1600,117,8
3988,10000,4909,3,1600,118,8
3989,10000,4087,3,1600,119,8
3990,100000,7942,3,1600,157,6
3991,10000,1288,4,1600,120,8
3992,10000,1398,4,1600,121,8
3993,10000,1597,4,1600,122,8
3994,100000,9290,3,1600,158,6
3995,100000,9238,3,1600,159,6
3996,1000,0,0,1600,141,3
3997,100000,9042,3,1600,160,6
3998,100000,8930,3,1600,161,6
3999,10000,0,0,1600,123,8
4000,10000,2030,4,1600,124,8
4001,10000,1401,4,1600,125,8
4002,10000,2664,3,1600,126,8
4003,1000000,13009,3,1600,157,0
4004,100000,9075,3,1600,162,6
4005,100000,9269,3,1600,163,6
4006,1000,0,0,1600,142,3
4007,1000,531,5,1600,143,3
4008,1000,506,4,1600,144,3
4009,100000,9152,3,1600,164,6
4010,100000,9263,3,1600,165,6
4011,10000,0,0,1600,127,8
4012,10000,1508,4,1600,128,8
4013,10000,1755,3,1600,129,8
4014,10000,3256,4,1600,130,8
4015,10000,1705,4,1600,131,8
4016,10000,1794,4,1600,132,8
4017,10000,1166,4,1600,133,8
4018,10000,2501,3,1600,134,8
4019,10000,4889,3,1600,135,8
4020,100000,9085,3,1600,166,6
4021,100000,9054,3,1600,167,6
4022,1000,0,0,1600,145,3
4023,1000,551,4,1600,146,3
4024,100000,5154,4,1600,168,6
4025,100000,5192,4,1600,169,6
4026,10000,0,0,1600,136,8
4027,100000,5229,3,1600,170,6
4028,100000,6640,3,1600,171,6
4029,1000,0,0,1600,147,3
4030,100000,6566,3,1600,172,6
4031,10000000,0,0,1600,15,0
4032,10000,0,0,1600,137,8
4033,100000,6492,3,1600,173,6
4034,10000,1390,4,1600,138,8
4035,10000,1770,4,1600,139,8
4036,10000,1679,3,1600,140,8
4037,100000,6479,3,1600,174,6
4038,100000,6468,3,1600,175,6
4039,1000,0,0,1600,148,3
4040,100000,6481,3,1600,176,6
4041,1000000,13029,4,1600,158,0
4042,100000,6475,3,1600,177,6
4043,10000,0,0,1600,141,8
4044,10000,6121,3,1600,142,8
4045,10000,1332,5,1600,143,8
4046,100000,6529,4,1600,178,6
4047,1000,0,0,1600,149,3
4048,100000,6434,4,1600,179,6
4049,100000,6423,3,1600,180,6
4050,10000,0,0,1600,144,8
4051,10000,1103,4,1600,145,8
4052,100000,5193,3,1600,181,6
4053,100000,4831,4,1600,182,6
4054,1000,0,0,1600,150,3
4055,100000,4838,4,1600,183,6
4056,10000,0,0,1600,146,8
4057,10000,1118,4,1600,147,8
4058,10000,1068,6,1600,148,8
4059,100000,4862,4,1600,184,6
4060,100000,10040,3,1600,185,6
4061,1000,0,0,1600,151,3
4062,100000,9968,3,1600,186,6
4063,100000,10050,3,1600,187,6
4064,10000,0,0,1600,149,8
4065,100000,9892,3,1600,188,6
4066,100000,10081,3,1600,189,6
4067,1000,0,0,1600,152,3
4068,1000,411,4,1600,153,3
4069,100000,10160,3,1600,190,6
4070,100000,9868,3,1600,191,6
4071,10000,0,0,1600,150,8
