,vertices,delta,runtime
398,90,14,4
399,90,18,4
400,91,13,5
401,91,15,4
402,91,14,5
403,91,14,4
404,91,17,4
405,92,14,3
406,92,15,4
407,92,14,6
408,92,14,4
409,92,17,4
410,93,14,3
411,93,14,4
412,93,14,4
413,93,14,4
414,93,17,3
415,94,14,4
416,94,15,4
417,94,14,4
418,94,14,4
419,94,17,4
420,95,14,4
421,95,15,3
422,95,14,4
423,95,14,4
424,95,16,3
425,96,14,5
426,96,15,3
427,96,14,4
428,96,14,4
429,96,16,3
430,97,14,5
431,97,15,3
432,97,15,3
433,97,13,4
434,97,16,3
435,98,14,4
436,98,14,3
437,98,18,4
438,98,13,4
439,98,15,4
440,99,14,6
441,99,14,3
442,99,18,4
443,99,13,4
444,99,15,5
445,100,14,4
446,100,14,4
447,100,17,4
448,100,13,4
449,100,16,2
450,101,15,3
451,101,13,4
452,101,17,4
453,101,14,4
454,101,16,4
455,111,16,4
456,111,14,3
457,111,18,4
458,111,13,3
459,111,15,4
460,121,16,4
461,121,14,4
462,121,16,6
463,121,15,4
464,121,15,4
465,131,15,5
466,131,15,4
467,131,17,4
468,131,19,5
469,131,14,4
470,141,15,5
471,141,15,3
472,141,18,4
473,141,18,5
474,141,16,5
475,151,16,4
476,151,16,4
477,151,19,4
478,151,18,3
479,151,15,3
480,161,17,3
481,161,16,4
482,161,18,4
483,161,19,3
484,161,17,4
485,171,17,5
486,171,16,4
487,171,18,3
488,171,20,4
489,171,18,4
490,181,19,3
491,181,19,4
492,181,19,4
493,181,19,4
494,181,19,4
495,191,18,3
496,191,17,3
497,191,19,4
498,191,19,3
499,191,19,4
500,201,19,4
501,201,17,3
502,201,19,4
503,201,19,4
504,201,19,4
505,211,18,5
506,211,17,3
507,211,18,4
508,211,17,4
509,211,19,3
510,221,19,3
511,221,17,4
512,221,18,4
513,221,16,4
514,221,18,4
515,231,19,5
516,231,18,5
517,231,19,5
518,231,16,4
519,231,19,5
520,241,19,3
521,241,19,5
522,241,19,5
523,241,16,4
524,241,20,4
525,251,19,4
526,251,18,4
527,251,21,3
