,vertices,delta,runtime,deltafactor
233,10000,4861,2,123
234,10000,2368,2,123
235,10000,2243,2,123
236,10000,2292,2,123
237,10000,2395,2,123
238,10000,4451,2,123
239,10000,734,3,123
240,10000,1416,2,124
241,10000,1118,2,124
242,10000,5547,2,124
243,10000,4861,2,124
244,10000,2368,2,124
245,10000,2243,2,124
246,10000,2292,2,124
247,10000,2395,3,124
248,10000,4451,2,124
249,10000,734,2,124
250,10000,1416,3,125
251,10000,1118,2,125
252,10000,5547,2,125
253,10000,4861,2,125
254,10000,2368,2,125
255,10000,2243,2,125
256,10000,2292,2,125
257,10000,2395,2,125
258,10000,4451,2,125
259,10000,734,2,125
260,10000,1416,3,126
261,10000,1118,2,126
262,10000,5547,2,126
263,10000,4861,2,126
264,10000,2368,2,126
265,10000,2243,2,126
266,10000,2292,2,126
267,10000,2395,2,126
268,10000,4451,2,126
269,10000,734,2,126
270,10000,1416,2,127
271,10000,1118,3,127
272,10000,5547,2,127
273,10000,4861,2,127
274,10000,2368,2,127
275,10000,2243,2,127
276,10000,2292,2,127
277,10000,2395,2,127
278,10000,4451,2,127
279,10000,734,2,127
280,10000,1416,2,128
281,10000,1118,3,128
282,10000,5547,2,128
283,10000,4861,2,128
284,10000,2368,2,128
285,10000,2243,2,128
286,10000,2292,2,128
287,10000,2395,2,128
288,10000,4451,2,128
289,10000,734,3,128
290,10000,1416,2,129
291,10000,1118,3,129
292,10000,5547,2,129
293,10000,4861,2,129
294,10000,2368,2,129
295,10000,2243,2,129
296,10000,2292,2,129
297,10000,2395,2,129
298,10000,4451,2,129
299,10000,734,2,129
300,10000,1416,2,130
301,10000,1118,2,130
302,10000,5547,2,130
303,10000,4861,2,130
304,10000,2368,2,130
305,10000,2243,2,130
306,10000,2292,2,130
307,10000,2395,2,130
308,10000,4451,2,130
309,10000,734,2,130
310,10000,1416,2,131
311,10000,1118,3,131
312,10000,5547,2,131
313,10000,4861,2,131
314,10000,2368,2,131
315,10000,2243,2,131
316,10000,2292,2,131
317,10000,2395,2,131
318,10000,4451,2,131
319,10000,734,3,131
320,10000,1416,2,132
321,10000,1118,2,132
322,10000,5547,2,132
323,10000,4861,2,132
324,10000,2368,2,132
325,10000,2243,2,132
326,10000,2292,2,132
327,10000,2395,2,132
328,10000,4451,2,132
329,10000,734,3,132
330,10000,1416,2,133
331,10000,1118,2,133
332,10000,5547,2,133
333,10000,4861,2,133
334,10000,2368,2,133
335,10000,2243,3,133
336,10000,2292,2,133
337,10000,2395,2,133
338,10000,4451,2,133
339,10000,734,3,133
340,10000,1416,3,134
341,10000,1118,3,134
342,10000,5547,2,134
343,10000,4861,2,134
344,10000,2368,2,134
345,10000,2243,2,134
346,10000,2292,2,134
347,10000,2395,2,134
348,10000,4451,2,134
349,10000,734,3,134
350,10000,1416,2,135
351,10000,1118,2,135
352,10000,5547,2,135
353,10000,4861,2,135
354,10000,2368,2,135
355,10000,2243,2,135
356,10000,2292,2,135
357,10000,2395,2,135
358,10000,4451,2,135
359,10000,734,3,135
360,10000,1416,2,136
361,10000,1118,2,136
362,10000,5547,2,136
363,10000,4861,2,136
364,10000,2368,2,136
365,10000,2243,2,136
366,10000,2292,2,136
367,10000,2395,2,136
368,10000,4451,2,136
369,10000,734,2,136
370,10000,1416,2,137
371,10000,1118,3,137
372,10000,5547,2,137
373,10000,4861,2,137
374,10000,2368,2,137
375,10000,2243,2,137
376,10000,2292,3,137
377,10000,2395,2,137
378,10000,4451,2,137
379,10000,734,3,137
380,10000,1416,2,138
381,10000,1118,2,138
382,10000,5547,2,138
383,10000,4861,2,138
384,10000,2368,2,138
385,10000,2243,2,138
386,10000,2292,2,138
387,10000,2395,2,138
388,10000,4451,2,138
389,10000,734,3,138
390,10000,1416,2,139
391,10000,1118,2,139
392,10000,5547,2,139
393,10000,4861,2,139
394,10000,2368,2,139
395,10000,2243,2,139
396,10000,2292,2,139
397,10000,2395,2,139
398,10000,4451,2,139
399,10000,734,2,139
400,10000,1416,2,140
401,10000,1118,2,140
402,10000,5547,2,140
403,10000,4861,2,140
404,10000,2368,2,140
405,10000,2243,2,140
406,10000,2292,2,140
407,10000,2395,2,140
408,10000,4451,2,140
409,10000,734,2,140
410,10000,1416,3,141
411,10000,1118,3,141
412,10000,5547,2,141
413,10000,4861,2,141
414,10000,2368,2,141
415,10000,2243,2,141
416,10000,2292,3,141
417,10000,2395,2,141
418,10000,4451,2,141
419,10000,734,2,141
420,10000,1416,2,142
421,10000,1118,2,142
422,10000,5547,2,142
423,10000,4861,2,142
424,10000,2368,2,142
425,10000,2243,2,142
426,10000,2292,3,142
427,10000,2395,2,142
428,10000,4451,2,142
429,10000,734,2,142
430,10000,1416,2,143
431,10000,1118,3,143
432,10000,5547,2,143
433,10000,4861,2,143
434,10000,2368,2,143
435,10000,2243,2,143
436,10000,2292,2,143
437,10000,2395,2,143
438,10000,4451,2,143
439,10000,734,2,143
440,10000,1416,3,144
441,10000,1118,2,144
442,10000,5547,2,144
443,10000,4861,2,144
444,10000,2368,2,144
445,10000,2243,2,144
446,10000,2292,2,144
447,10000,2395,2,144
448,10000,4451,2,144
449,10000,734,3,144
450,10000,1416,2,145
451,10000,1118,3,145
452,10000,5547,2,145
453,10000,4861,2,145
454,10000,2368,2,145
455,10000,2243,2,145
456,10000,2292,2,145
457,10000,2395,2,145
458,10000,4451,2,145
459,10000,734,2,145
460,10000,1416,2,146
461,10000,1118,3,146
462,10000,5547,3,146
463,10000,4861,2,146
464,10000,2368,2,146
465,10000,2243,3,146
466,10000,2292,2,146
467,10000,2395,2,146
468,10000,4451,2,146
469,10000,734,2,146
470,10000,1416,2,147
471,10000,1118,3,147
472,10000,5547,2,147
473,10000,4861,2,147
474,10000,2368,3,147
475,10000,2243,2,147
476,10000,2292,2,147
477,10000,2395,2,147
478,10000,4451,2,147
479,10000,734,3,147
480,10000,1416,2,148
481,10000,1118,3,148
482,10000,5547,2,148
483,10000,4861,2,148
484,10000,2368,2,148
485,10000,2243,2,148
486,10000,2292,2,148
487,10000,2395,2,148
488,10000,4451,2,148
489,10000,734,3,148
490,10000,1416,2,149
491,10000,1118,2,149
492,10000,5547,2,149
493,10000,4861,2,149
494,10000,2368,2,149
495,10000,2243,2,149
496,10000,2292,2,149
497,10000,2395,2,149
498,10000,4451,2,149
499,10000,734,3,149
500,10000,1416,2,150
501,10000,1118,3,150
502,10000,5547,2,150
503,10000,4861,2,150
504,10000,2368,2,150
505,10000,2243,2,150
506,10000,2292,2,150
507,10000,2395,2,150
508,10000,4451,2,150
509,10000,734,2,150
510,10000,1416,2,151
511,10000,1118,2,151
512,10000,5547,2,151
513,10000,4861,2,151
514,10000,2368,2,151
515,10000,2243,2,151
516,10000,2292,2,151
517,10000,2395,2,151
518,10000,4451,2,151
519,10000,734,2,151
520,10000,1416,3,152
521,10000,1118,2,152
522,10000,5547,2,152
523,10000,4861,2,152
524,10000,2368,3,152
525,10000,2243,2,152
526,10000,2292,2,152
527,10000,2395,2,152
528,10000,4451,2,152
529,10000,734,3,152
530,10000,1416,2,153
531,10000,1118,2,153
532,10000,5547,2,153
533,10000,4861,2,153
534,10000,2368,2,153
535,10000,2243,2,153
536,10000,2292,2,153
537,10000,2395,2,153
538,10000,4451,2,153
539,10000,734,2,153
540,10000,1416,2,154
541,10000,1118,2,154
542,10000,5547,2,154
543,10000,4861,2,154
544,10000,2368,2,154
545,10000,2243,2,154
546,10000,2292,2,154
547,10000,2395,2,154
548,10000,4451,2,154
549,10000,734,2,154
550,10000,1416,2,155
551,10000,1118,3,155
552,10000,5547,2,155
553,10000,4861,2,155
554,10000,2368,2,155
555,10000,2243,2,155
556,10000,2292,2,155
557,10000,2395,2,155
558,10000,4451,2,155
559,10000,734,3,155
560,10000,1416,2,156
561,10000,1118,2,156
562,10000,5547,2,156
563,10000,4861,2,156
564,10000,2368,2,156
565,10000,2243,2,156
566,10000,2292,2,156
567,10000,2395,2,156
568,10000,4451,2,156
569,10000,734,2,156
570,10000,1416,2,157
571,10000,1118,2,157
572,10000,5547,2,157
573,10000,4861,2,157
574,10000,2368,2,157
575,10000,2243,2,157
576,10000,2292,2,157
577,10000,2395,3,157
578,10000,4451,2,157
579,10000,734,2,157
580,10000,1416,2,158
581,10000,1118,3,158
582,10000,5547,2,158
583,10000,4861,2,158
584,10000,2368,2,158
585,10000,2243,2,158
586,10000,2292,2,158
587,10000,2395,2,158
588,10000,4451,2,158
589,10000,734,2,158
590,10000,1416,2,159
591,10000,1118,3,159
592,10000,5547,2,159
593,10000,4861,2,159
594,10000,2368,2,159
595,10000,2243,2,159
596,10000,2292,2,159
597,10000,2395,2,159
598,10000,4451,2,159
599,10000,734,3,159
600,10000,1416,2,160
601,10000,1118,3,160
602,10000,5547,2,160
603,10000,4861,2,160
604,10000,2368,2,160
605,10000,2243,2,160
606,10000,2292,2,160
607,10000,2395,2,160
608,10000,4451,2,160
609,10000,734,3,160
610,10000,1416,2,161
611,10000,1118,2,161
612,10000,5547,2,161
613,10000,4861,2,161
614,10000,2368,2,161
615,10000,2243,2,161
616,10000,2292,2,161
617,10000,2395,2,161
618,10000,4451,2,161
619,10000,734,3,161
620,10000,1416,2,162
621,10000,1118,2,162
622,10000,5547,2,162
623,10000,4861,2,162
624,10000,2368,2,162
625,10000,2243,2,162
626,10000,2292,2,162
627,10000,2395,2,162
628,10000,4451,2,162
629,10000,734,3,162
630,10000,1416,2,163
631,10000,1118,2,163
632,10000,5547,2,163
633,10000,4861,2,163
634,10000,2368,2,163
635,10000,2243,2,163
636,10000,2292,2,163
637,10000,2395,2,163
638,10000,4451,2,163
639,10000,734,3,163
640,10000,1416,2,164
641,10000,1118,3,164
642,10000,5547,2,164
643,10000,4861,2,164
644,10000,2368,2,164
645,10000,2243,2,164
646,10000,2292,2,164
647,10000,2395,2,164
648,10000,4451,2,164
649,10000,734,3,164
