,vertices,delta,runtime,deltafactor,seed
229,10000,2243,2,97,5
230,10000,2243,2,98,5
231,10000,2243,2,99,5
232,10000,2395,2,96,7
233,10000,2395,3,95,7
234,10000,2292,2,97,6
235,10000,2292,2,98,6
236,10000,2292,2,99,6
237,10000,4451,2,96,8
238,10000,4451,2,95,8
239,10000,2395,2,97,7
240,10000,2395,2,99,7
241,10000,734,2,96,9
242,10000,2395,3,98,7
243,10000,734,2,95,9
244,10000,4451,2,97,8
245,10000,4451,2,99,8
246,10000,1431,2,96,10
247,10000,1431,2,95,10
248,10000,4451,2,98,8
249,10000,734,2,97,9
250,10000,734,2,99,9
251,10000,954,2,96,11
252,10000,734,2,98,9
253,10000,954,2,95,11
254,10000,1431,2,97,10
255,10000,748,2,96,12
256,10000,1431,2,98,10
257,10000,748,2,95,12
258,10000,1431,3,99,10
259,10000,954,2,97,11
260,10000,2786,2,96,13
261,10000,2786,2,95,13
262,10000,954,2,99,11
263,10000,954,2,98,11
264,10000,748,3,97,12
265,10000,2957,2,96,14
266,10000,748,2,99,12
267,10000,2957,2,95,14
268,10000,748,2,98,12
269,10000,2786,2,97,13
270,10000,1778,2,96,15
271,10000,2786,2,99,13
272,10000,2786,2,98,13
273,10000,1778,2,95,15
274,10000,2957,2,97,14
275,10000,1881,2,96,16
276,10000,2957,2,99,14
277,10000,2957,2,98,14
278,10000,1881,2,95,16
279,10000,1778,2,97,15
280,10000,2371,2,96,17
281,10000,1778,2,98,15
282,10000,1778,2,99,15
283,10000,2371,2,95,17
284,10000,1881,2,97,16
285,10000,3397,2,96,18
286,10000,1881,2,98,16
287,10000,1881,2,99,16
288,10000,2371,2,97,17
289,10000,3397,2,95,18
290,10000,1187,2,96,19
291,10000,2371,2,98,17
292,10000,2371,2,99,17
293,10000,1187,2,95,19
294,10000,3397,2,97,18
295,10000,1416,2,96,0
296,10000,3397,2,98,18
297,10000,3397,2,99,18
298,10000,1416,2,95,0
299,10000,1187,2,97,19
300,10000,1118,2,96,1
301,10000,1187,2,98,19
302,10000,1187,2,99,19
303,10000,1416,2,97,0
304,10000,1118,2,95,1
305,10000,5547,2,96,2
306,10000,1416,2,99,0
307,10000,1416,2,98,0
308,10000,1118,2,97,1
309,10000,5547,2,95,2
310,10000,4861,2,96,3
311,10000,1118,2,98,1
312,10000,1118,2,99,1
313,10000,5547,2,97,2
314,10000,4861,2,95,3
315,10000,2368,2,96,4
316,10000,5547,2,99,2
317,10000,5547,2,98,2
318,10000,4861,2,97,3
319,10000,2368,2,95,4
320,10000,2243,2,96,5
321,10000,4861,2,99,3
322,10000,4861,2,98,3
323,10000,2243,2,95,5
324,10000,2368,2,97,4
325,10000,2292,2,96,6
326,10000,2368,2,99,4
327,10000,2368,2,98,4
328,10000,2292,2,95,6
329,10000,2243,2,97,5
330,10000,2395,2,96,7
331,10000,2243,2,99,5
332,10000,2243,2,98,5
333,10000,2292,2,97,6
334,10000,2395,2,95,7
335,10000,4451,2,96,8
336,10000,2292,2,99,6
337,10000,2292,2,98,6
338,10000,2395,2,97,7
339,10000,4451,2,95,8
340,10000,2395,2,99,7
341,10000,734,3,96,9
342,10000,2395,2,98,7
343,10000,4451,2,97,8
344,10000,734,2,95,9
345,10000,4451,2,99,8
346,10000,1431,2,96,10
347,10000,4451,2,98,8
348,10000,1431,2,95,10
349,10000,734,3,97,9
350,10000,734,3,99,9
351,10000,954,3,96,11
352,10000,734,3,98,9
353,10000,1431,2,97,10
354,10000,954,2,95,11
355,10000,1431,2,99,10
356,10000,1431,2,98,10
357,10000,748,2,96,12
358,10000,748,2,95,12
359,10000,954,2,97,11
360,10000,954,2,99,11
361,10000,2786,2,96,13
362,10000,954,2,98,11
363,10000,2786,2,95,13
364,10000,748,2,97,12
365,10000,748,2,98,12
366,10000,748,2,99,12
367,10000,2957,2,96,14
368,10000,2957,2,95,14
369,10000,2786,3,97,13
370,10000,2786,2,99,13
371,10000,2786,2,98,13
372,10000,1778,2,96,15
373,10000,1778,2,95,15
374,10000,2957,2,97,14
375,10000,2957,2,98,14
376,10000,2957,2,99,14
377,10000,1881,2,96,16
378,10000,1881,2,95,16
379,10000,1778,2,97,15
380,10000,1778,2,98,15
381,10000,1778,2,99,15
382,10000,2371,2,96,17
383,10000,2371,2,95,17
384,10000,1881,2,97,16
385,10000,1881,2,98,16
386,10000,1881,2,99,16
387,10000,3397,2,96,18
388,10000,3397,2,95,18
389,10000,2371,2,97,17
390,10000,2371,2,99,17
391,10000,2371,2,98,17
392,10000,1187,2,96,19
393,10000,1187,2,95,19
394,10000,3397,2,97,18
395,10000,3397,2,99,18
396,10000,1416,2,96,0
397,10000,3397,3,98,18
398,10000,1416,3,95,0
399,10000,1187,2,99,19
400,10000,1187,2,97,19
401,10000,1118,2,96,1
402,10000,1187,2,98,19
403,10000,1118,2,95,1
404,10000,1416,2,99,0
405,10000,5547,2,96,2
406,10000,1416,3,97,0
407,10000,1416,3,98,0
408,10000,1118,2,99,1
409,10000,5547,2,95,2
410,10000,1118,2,97,1
411,10000,4861,2,96,3
412,10000,5547,2,99,2
413,10000,1118,2,98,1
414,10000,4861,2,95,3
415,10000,5547,2,97,2
416,10000,2368,2,96,4
417,10000,4861,2,99,3
418,10000,5547,2,98,2
419,10000,2368,2,95,4
420,10000,4861,2,97,3
421,10000,2243,2,96,5
422,10000,4861,2,98,3
423,10000,2243,2,95,5
424,10000,2368,2,99,4
425,10000,2368,2,97,4
426,10000,2292,2,96,6
427,10000,2292,2,95,6
428,10000,2243,2,99,5
429,10000,2368,2,98,4
430,10000,2243,2,97,5
431,10000,2395,2,96,7
432,10000,2395,2,95,7
433,10000,2243,2,98,5
434,10000,2292,2,99,6
435,10000,2292,2,97,6
436,10000,4451,2,96,8
437,10000,4451,2,95,8
438,10000,2292,2,98,6
439,10000,2395,2,99,7
440,10000,2395,2,97,7
441,10000,734,2,96,9
442,10000,2395,2,98,7
443,10000,734,3,95,9
444,10000,4451,2,99,8
445,10000,4451,2,97,8
446,10000,1431,2,96,10
447,10000,4451,2,98,8
448,10000,734,2,97,9
449,10000,1431,3,95,10
450,10000,734,3,99,9
451,10000,954,2,96,11
452,10000,734,3,98,9
453,10000,954,2,95,11
454,10000,1431,2,97,10
455,10000,748,2,96,12
456,10000,1431,3,99,10
457,10000,1431,2,98,10
458,10000,748,2,95,12
459,10000,2786,2,96,13
460,10000,954,2,97,11
461,10000,954,2,99,11
462,10000,2786,2,95,13
463,10000,954,2,98,11
464,10000,2957,2,96,14
465,10000,748,2,97,12
466,10000,748,3,99,12
467,10000,748,2,98,12
468,10000,2957,2,95,14
469,10000,1778,2,96,15
470,10000,2786,2,97,13
471,10000,2786,2,98,13
472,10000,2786,2,99,13
473,10000,1778,2,95,15
474,10000,1881,2,96,16
475,10000,2957,2,97,14
476,10000,2957,2,98,14
477,10000,2957,2,99,14
478,10000,1881,2,95,16
479,10000,2371,2,96,17
480,10000,1778,2,97,15
481,10000,1778,2,98,15
482,10000,1778,2,99,15
483,10000,2371,2,95,17
484,10000,3397,2,96,18
485,10000,1881,2,97,16
486,10000,1881,2,98,16
487,10000,1881,2,99,16
488,10000,3397,2,95,18
489,10000,1187,2,96,19
490,10000,2371,2,97,17
491,10000,2371,2,98,17
492,10000,1187,2,95,19
493,10000,2371,2,99,17
494,10000,1416,2,96,0
495,10000,3397,2,97,18
496,10000,3397,2,98,18
497,10000,3397,2,99,18
498,10000,1416,2,95,0
499,10000,1118,2,96,1
500,10000,1187,3,97,19
501,10000,1187,2,99,19
502,10000,1187,2,98,19
503,10000,1118,2,95,1
504,10000,5547,2,96,2
505,10000,1416,2,97,0
506,10000,1416,2,99,0
507,10000,1416,2,98,0
508,10000,5547,2,95,2
509,10000,4861,2,96,3
510,10000,1118,2,97,1
511,10000,1118,2,99,1
512,10000,1118,2,98,1
513,10000,4861,2,95,3
514,10000,2368,2,96,4
515,10000,5547,2,99,2
516,10000,5547,2,97,2
517,10000,2368,2,95,4
518,10000,5547,2,98,2
519,10000,2243,2,96,5
